Designator,Footprint,Quantity,Value,LCSC Part #
"AV1, AV2",CONN-TH_AV-5,2,AV-5,C18080
C1,0603,1,10uF,
"C10, C6, C7, C9",0402,4,4.7uF,C23733
"C11, C12, C13, C14, C15, C16, C17, C18, C2, C20, C27, C28, C30, C8",0402,14,100nF,C307331
"C19, C26, C29, C5",0603,4,10uF,C19702
C21,0805,1,100nF,C49678
"C22, C24, C25",0402,3,10nF,C15195
C23,CP_Elec_6.3x5.4,1,100uF,C29179
"C3, C4",0402,2,15pF,C1548
CARD1,TF-SMD_TF-PUSH,1,TF PUSH,C393941
"D1, D2, D3, D4, D5, D6",SOT-23,6,BAT54S,C47546
"H1, H2, H3, H4",MountingHole_2.7mm_M2.5,4,MountingHole,
J1,USB-C_SMD-TYPE-C-31-M-12_1,1,USB_C_Receptacle_USB2.0_16P,C165948
J3,HDMI_A_Molex_208658-1001_Horizontal,1,HDMI_E,C2962407
J4,JST_SH_SM03B-SRSS-TB_1x03-1MP_P1.00mm_Horizontal,1,SM03B-SRSS-TB,C160403
L1,IND-SMD_L2.0-W1.6_AOTA-B201610S3R3-101-T,1,3.3uH,C42411119
Q1,SOT-23,1,2N7002,C8545
"R10, R26, R27, R28, R29, R30, R31, R32",0603,8,270,C22966
"R11, R12",0402,2,5.1k,C25905
"R13, R40",0402,2,330,C25104
"R14, R16, R3",0402,3,1k,C2784783
"R15, R21, R33, R35, R36, R37",0402,6,10k,C2765610
R17,0402,1,7.5,C47764
R18,0402,1,68,C25131
R19,0402,1,15, C25083
"R2, R4, R6",0402,3,1k,C11702
R20,0402,1,470,C25117
R22,0402,1,22, C25092 
R23,0402,1,220,C25091
R24,0402,1,100,C2784782
R25,0402,1,120,C25079
R34,0402,1,20k,C25765
"R38, R39",0402,2,0,C17168
R5,0402,1,33,C25105
R7,0402,1,27,C25100 
R8,0402,1,27,C25100
"SW3, SW4",KEY-SMD_4P-L4.2-W3.2-P2.20-LS4.6,2,PTS810SJM250SMTRLFS,C116501
TP1,TestPoint_Pad_1.5x1.5mm,1,TestPoint,
"TP10, TP11, TP2, TP3, TP4, TP6, TP7, TP8, TP9",TestPoint_Pad_1.5x1.5mm,9,~,
TP5,TestPoint_Pad_2.0x2.0mm,1,TestPoint,
U1,RP2350-QFN-60-1EP_7x7_P0.4mm_EP3.4x3.4mm_ThermalVias,1,RP2350_60QFN,C42411118
"U2, U5",SOT-223-3_TabPin2,2,AMS1117-3.3,C6186
U3,SOIC-8_5.3x5.3mm_P1.27mm,1,W25Q128JVS,C97521
U4,SOT-23-6,1,~,C7519
"U6, U7",NES_1x7_CustomPitch,2,~,
U8,NES_Power_Reset_LED_5pin,1,~,
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,ABM8-272-T3,C20625731
